"pharmacy_id","pharmacy_name","pharmacy_long_name","pharmacy_types","pharmacy_email_id","pharmacy_phone_no","is_email_id_verified","is_phone_no_verified","pharmacy_address","pharmacy_district","pharmacy_street","pharmacy_city","pharmacy_pincode","pharmacy_state","pharmacy_country","latitude","longitude","pharmacy_rating_google","pharmacy_status","pharmacy_working_hrs","pharmacy_working_hrs_delimited","pharmacy_contact_person","pharmacy_contact_person_phone"
23,Golden Pharmacy,Golden Long Pharmacy Name with More Details,Retail,goldenpharmacy@gmail.com,"9876543210",Y,Y,"123 Golden Street",South Kolkata,Main Street,Kolkata,"700001",West Bengal,India,22.567890,88.123457,4.50,Open,Mon-Sat: 9AM-6PM,Mon-Sat: 9AM-6PM,John Doe,"9876543210"
24,Health Plus Pharmacy,Health Plus Long Pharmacy Name with More Details,Retail,healthplus@yahoo.com,"9876543211",Y,Y,"456 Health Avenue",North Kolkata,Elm Street,Kolkata,"700002",West Bengal,India,22.678901,88.234568,4.20,Open,Mon-Fri: 10AM-7PM,Mon-Fri: 10AM-7PM,Jane Smith,"9876543211"
25,Wellness Pharmacy,Wellness Long Pharmacy Name with More Details,Retail,wellness@rediffmail.com,"9876543212",Y,N,"789 Wellness Boulevard",East Kolkata,Oak Street,Kolkata,"700003",West Bengal,India,22.789012,88.345679,3.80,Open,Mon-Sat: 8AM-5PM,Mon-Sat: 8AM-5PM,Emily Johnson,"9876543212"
26,CureAll Pharmacy,CureAll Long Pharmacy Name with More Details,Retail,cureall@gmail.com,"9876543213",Y,Y,"101 CureAll Plaza",South Kolkata,Pine Street,Kolkata,"700004",West Bengal,India,22.890123,88.456780,4.70,Open,Mon-Sun: 9AM-9PM,Mon-Sun: 9AM-9PM,Michael Brown,"9876543213"
27,PharmaCare Pharmacy,PharmaCare Long Pharmacy Name with More Details,Retail,pharmacare@yahoo.com,"9876543214",Y,Y,"202 PharmaCare Road",West Kolkata,Cedar Street,Kolkata,"700005",West Bengal,India,22.901234,88.567891,4.10,Open,Mon-Sat: 9AM-6PM,Mon-Sat: 9AM-6PM,Sarah Davis,"9876543214"
28,MediPlus Pharmacy,MediPlus Long Pharmacy Name with More Details,Retail,mediplus@rediffmail.com,"9876543215",Y,Y,"303 MediPlus Lane",North Kolkata,Spruce Street,Kolkata,"700006",West Bengal,India,22.912345,88.678902,4.30,Open,Mon-Sun: 10AM-8PM,Mon-Sun: 10AM-8PM,Laura Wilson,"9876543215"
29,QuickMed Pharmacy,QuickMed Long Pharmacy Name with More Details,Retail,quickmed@gmail.com,"9876543216",Y,Y,"404 QuickMed Crescent",East Kolkata,Birch Street,Kolkata,"700007",West Bengal,India,22.923456,88.789013,4.00,Open,Mon-Sat: 9AM-5PM,Mon-Sat: 9AM-5PM,David Martinez,"9876543216"
30,EasyPharma Pharmacy,EasyPharma Long Pharmacy Name with More Details,Retail,easypharma@yahoo.com,"9876543217",Y,Y,"505 EasyPharma Terrace",South Kolkata,Willow Street,Kolkata,"700008",West Bengal,India,22.934567,88.890124,3.90,Open,Mon-Fri: 10AM-7PM,Mon-Fri: 10AM-7PM,Nancy Lee,"9876543217"
31,TopCare Pharmacy,TopCare Long Pharmacy Name with More Details,Retail,topcare@rediffmail.com,"9876543218",Y,N,"606 TopCare Square",West Kolkata,Ash Street,Kolkata,"700009",West Bengal,India,22.945678,88.901235,4.60,Open,Mon-Sat: 10AM-6PM,Mon-Sat: 10AM-6PM,Christopher Harris,"9876543218"
32,MedFirst Pharmacy,MedFirst Long Pharmacy Name with More Details,Retail,medfirst@gmail.com,"9876543219",Y,Y,"707 MedFirst Boulevard",North Kolkata,Elm Street,Kolkata,"700010",West Bengal,India,22.956789,88.012346,4.40,Open,Mon-Sun: 9AM-8PM,Mon-Sun: 9AM-8PM,Patricia Clark,"9876543219"
33,PrimePharma Pharmacy,PrimePharma Long Pharmacy Name with More Details,Retail,primepharma@yahoo.com,"9876543220",Y,Y,"808 PrimePharma Drive",East Kolkata,Pine Street,Kolkata,"700011",West Bengal,India,22.967890,88.123458,4.80,Open,Mon-Sat: 9AM-5PM,Mon-Sat: 9AM-5PM,Steven Allen,"9876543220"
